n,alpha,d,theta_star,power
1000,0.1,1,0.053,0.08
1000,0.1,2,0.053,0.1814
1000,0.1,10,0.053,0.4972
1000,0.1,1,0.054,0.0856
1000,0.1,2,0.054,0.1942
1000,0.1,10,0.054,0.519
1000,0.1,1,0.055,0.0834
1000,0.1,2,0.055,0.1978
1000,0.1,10,0.055,0.535
1000,0.1,1,0.056,0.0906
1000,0.1,2,0.056,0.2222
1000,0.1,10,0.056,0.5608
1000,0.1,1,0.057,0.1
1000,0.1,2,0.057,0.227
1000,0.1,10,0.057,0.5764
1000,0.1,1,0.058,0.1006
1000,0.1,2,0.058,0.2298
1000,0.1,10,0.058,0.5946
1000,0.1,1,0.059,0.1032
1000,0.1,2,0.059,0.24
1000,0.1,10,0.059,0.6206
1000,0.1,1,0.06,0.1162
1000,0.1,2,0.06,0.246
1000,0.1,10,0.06,0.634
1000,0.1,1,0.061,0.1236
1000,0.1,2,0.061,0.2674
1000,0.1,10,0.061,0.6444
1000,0.1,1,0.062,0.1204
1000,0.1,2,0.062,0.277
1000,0.1,10,0.062,0.6624
1000,0.1,1,0.063,0.1338
1000,0.1,2,0.063,0.2794
1000,0.1,10,0.063,0.6832
1000,0.1,1,0.064,0.1298
1000,0.1,2,0.064,0.2916
1000,0.1,10,0.064,0.7026
1000,0.1,1,0.065,0.1376
1000,0.1,2,0.065,0.3084
1000,0.1,10,0.065,0.7168
1000,0.1,1,0.066,0.1626
1000,0.1,2,0.066,0.3338
1000,0.1,10,0.066,0.7288
1000,0.1,1,0.067,0.1538
1000,0.1,2,0.067,0.3336
1000,0.1,10,0.067,0.7528
1000,0.1,1,0.068,0.162
1000,0.1,2,0.068,0.3468
1000,0.1,10,0.068,0.775
1000,0.1,1,0.069,0.1666
1000,0.1,2,0.069,0.3626
1000,0.1,10,0.069,0.782
1000,0.1,1,0.07,0.1728
1000,0.1,2,0.07,0.379
1000,0.1,10,0.07,0.793
1000,0.1,1,0.071,0.1786
1000,0.1,2,0.071,0.3796
1000,0.1,10,0.071,0.8056
1000,0.1,1,0.072,0.1818
1000,0.1,2,0.072,0.3868
1000,0.1,10,0.072,0.8204
1000,0.1,1,0.073,0.1966
1000,0.1,2,0.073,0.4254
1000,0.1,10,0.073,0.8284
1000,0.1,1,0.074,0.1998
1000,0.1,2,0.074,0.4312
1000,0.1,10,0.074,0.8448
1000,0.1,1,0.075,0.2074
1000,0.1,2,0.075,0.4278
1000,0.1,10,0.075,0.8476
1000,0.1,1,0.076,0.2164
1000,0.1,2,0.076,0.4388
1000,0.1,10,0.076,0.8666
1000,0.1,1,0.077,0.2246
1000,0.1,2,0.077,0.4452
1000,0.1,10,0.077,0.8776
1000,0.1,1,0.078,0.2386
1000,0.1,2,0.078,0.4668
1000,0.1,10,0.078,0.8832
1000,0.1,1,0.079,0.2452
1000,0.1,2,0.079,0.474
1000,0.1,10,0.079,0.8936
1000,0.1,1,0.08,0.2582
1000,0.1,2,0.08,0.4962
1000,0.1,10,0.08,0.897
1000,0.1,1,0.081,0.2614
1000,0.1,2,0.081,0.5122
1000,0.1,10,0.081,0.909
1000,0.1,1,0.082,0.2752
1000,0.1,2,0.082,0.5202
1000,0.1,10,0.082,0.9158
1000,0.1,1,0.083,0.281
1000,0.1,2,0.083,0.5256
1000,0.1,10,0.083,0.9232
1000,0.1,1,0.084,0.292
1000,0.1,2,0.084,0.5262
1000,0.1,10,0.084,0.9272
1000,0.1,1,0.085,0.3012
1000,0.1,2,0.085,0.5602
1000,0.1,10,0.085,0.935
1000,0.1,1,0.086,0.3138
1000,0.1,2,0.086,0.551
1000,0.1,10,0.086,0.9374
1000,0.1,1,0.087,0.3232
1000,0.1,2,0.087,0.581
1000,0.1,10,0.087,0.9424
1000,0.1,1,0.088,0.3136
1000,0.1,2,0.088,0.5808
1000,0.1,10,0.088,0.9538
1000,0.1,1,0.089,0.3234
1000,0.1,2,0.089,0.5966
1000,0.1,10,0.089,0.9536
1000,0.1,1,0.09,0.3326
1000,0.1,2,0.09,0.603
1000,0.1,10,0.09,0.9548
1000,0.1,1,0.091,0.34
1000,0.1,2,0.091,0.6116
1000,0.1,10,0.091,0.9546
1000,0.1,1,0.092,0.3652
1000,0.1,2,0.092,0.6266
1000,0.1,10,0.092,0.9596
1000,0.1,1,0.093,0.3706
1000,0.1,2,0.093,0.6264
1000,0.1,10,0.093,0.9664
1000,0.1,1,0.094,0.3882
1000,0.1,2,0.094,0.645
1000,0.1,10,0.094,0.968
1000,0.1,1,0.095,0.3814
1000,0.1,2,0.095,0.6532
1000,0.1,10,0.095,0.979
1000,0.1,1,0.096,0.4048
1000,0.1,2,0.096,0.655
1000,0.1,10,0.096,0.9738
1000,0.1,1,0.097,0.4002
1000,0.1,2,0.097,0.6856
1000,0.1,10,0.097,0.9804
1000,0.1,1,0.098,0.4208
1000,0.1,2,0.098,0.6758
1000,0.1,10,0.098,0.9804
1000,0.1,1,0.099,0.433
1000,0.1,2,0.099,0.6844
1000,0.1,10,0.099,0.9826
1000,0.1,1,0.1,0.4278
1000,0.1,2,0.1,0.697
1000,0.1,10,0.1,0.984
1000,0.1,1,0.101,0.448
1000,0.1,2,0.101,0.7104
1000,0.1,10,0.101,0.9826
1000,0.1,1,0.102,0.4604
1000,0.1,2,0.102,0.713
1000,0.1,10,0.102,0.9878
1000,0.1,1,0.103,0.4686
1000,0.1,2,0.103,0.7202
1000,0.1,10,0.103,0.9874
1000,0.1,1,0.104,0.4726
1000,0.1,2,0.104,0.721
1000,0.1,10,0.104,0.989
1000,0.1,1,0.105,0.481
1000,0.1,2,0.105,0.746
1000,0.1,10,0.105,0.99
1000,0.1,1,0.106,0.5082
1000,0.1,2,0.106,0.7446
1000,0.1,10,0.106,0.9926
1000,0.1,1,0.107,0.5212
1000,0.1,2,0.107,0.757
1000,0.1,10,0.107,0.9924
1000,0.1,1,0.108,0.5142
1000,0.1,2,0.108,0.7626
1000,0.1,10,0.108,0.9926
1000,0.1,1,0.109,0.5222
1000,0.1,2,0.109,0.772
1000,0.1,10,0.109,0.9928
1000,0.1,1,0.11,0.5316
1000,0.1,2,0.11,0.7764
1000,0.1,10,0.11,0.9936
1000,0.1,1,0.111,0.5316
1000,0.1,2,0.111,0.787
1000,0.1,10,0.111,0.9962
1000,0.1,1,0.112,0.5484
1000,0.1,2,0.112,0.79
1000,0.1,10,0.112,0.9946
1000,0.1,1,0.113,0.5612
1000,0.1,2,0.113,0.8008
1000,0.1,10,0.113,0.996
1000,0.1,1,0.114,0.5614
1000,0.1,2,0.114,0.809
1000,0.1,10,0.114,0.9966
1000,0.1,1,0.115,0.5774
1000,0.1,2,0.115,0.8094
1000,0.1,10,0.115,0.9968
1000,0.1,1,0.116,0.583
1000,0.1,2,0.116,0.8244
1000,0.1,10,0.116,0.9986
1000,0.1,1,0.117,0.5862
1000,0.1,2,0.117,0.811
1000,0.1,10,0.117,0.9974
1000,0.1,1,0.118,0.6064
1000,0.1,2,0.118,0.8264
1000,0.1,10,0.118,0.9992
1000,0.1,1,0.119,0.6092
1000,0.1,2,0.119,0.854
1000,0.1,10,0.119,0.9986
1000,0.1,1,0.12,0.614
1000,0.1,2,0.12,0.8488
1000,0.1,10,0.12,0.9976
1000,0.1,1,0.121,0.6414
1000,0.1,2,0.121,0.8392
1000,0.1,10,0.121,0.999
1000,0.1,1,0.122,0.6226
1000,0.1,2,0.122,0.8478
1000,0.1,10,0.122,0.9988
1000,0.1,1,0.123,0.6452
1000,0.1,2,0.123,0.8554
1000,0.1,10,0.123,0.9982
1000,0.1,1,0.124,0.6478
1000,0.1,2,0.124,0.8584
1000,0.1,10,0.124,0.9992
1000,0.1,1,0.125,0.647
1000,0.1,2,0.125,0.8556
1000,0.1,10,0.125,0.9984
1000,0.1,1,0.126,0.6666
1000,0.1,2,0.126,0.8638
1000,0.1,10,0.126,0.9994
1000,0.1,1,0.127,0.6662
1000,0.1,2,0.127,0.869
1000,0.1,10,0.127,0.9988
1000,0.1,1,0.128,0.6824
1000,0.1,2,0.128,0.881
1000,0.1,10,0.128,0.9994
1000,0.1,1,0.129,0.6862
1000,0.1,2,0.129,0.8814
1000,0.1,10,0.129,0.9994
1000,0.1,1,0.13,0.6824
1000,0.1,2,0.13,0.8834
1000,0.1,10,0.13,0.999
1000,0.1,1,0.131,0.7132
1000,0.1,2,0.131,0.8856
1000,0.1,10,0.131,0.9996
