n,n_sim,B,alpha,d,theta_star_1,reject,mean_test_stat,mean_case_1_prop,mean_case_2_prop,mean_case_3_prop
1000,1000,100,0.1,10,1.01,0.004,1.10147087504071,0,0.33901,0.66099
1000,1000,100,0.1,10,1.02,0.005,1.19456680060974,0,0.25088,0.749120000000001
1000,1000,100,0.1,10,1.03,0.015,1.56680523454479,0,0.18729,0.812710000000001
1000,1000,100,0.1,10,1.04,0.027,2.03555383103818,0,0.13901,0.860990000000001
1000,1000,100,0.1,10,1.05,0.056,3.40211982607221,0,0.09596,0.904040000000001
1000,1000,100,0.1,10,1.06,0.111,8.41608603258901,0,0.05997,0.94003
1000,1000,100,0.1,10,1.07,0.169,17.5892219047082,0,0.0403,0.959700000000001
1000,1000,100,0.1,10,1.08,0.254,26.7571420264729,0,0.02104,0.978960000000001
1000,1000,100,0.1,10,1.09,0.372,235.275284337313,0,0.01552,0.984480000000001
1000,1000,100,0.1,10,1.1,0.498,519.229627333008,0,0.00761,0.992390000000001
1000,1000,100,0.1,10,1.11,0.608,571.165588161923,0,0.00388,0.996120000000001
1000,1000,100,0.1,10,1.12,0.749,1118.06625525505,0,0.00188,0.998120000000001
1000,1000,100,0.1,10,1.13,0.838,22547.9248492858,0,0.00118,0.998820000000001
1000,1000,100,0.1,10,1.14,0.921,30435.3201419792,0,0.00051,0.999490000000001
1000,1000,100,0.1,10,1.15,0.954,75855.0646855799,0,0.00038,0.999620000000001
1000,1000,100,0.1,10,1.16,0.97,2753110.91556996,0,7e-05,0.999930000000001
1000,1000,100,0.1,10,1.17,0.988,14328523.5443546,0,3e-05,0.999970000000001
1000,1000,100,0.1,10,1.18,0.997,6890118.24241948,0,0,1
1000,1000,100,0.1,10,1.19,0.999,62615541.9605075,0,0,1
1000,1000,100,0.1,10,1.2,0.998,92041900.8341047,0,0,1
1000,1000,100,0.1,10,1.2,1,199983636.564028,0,0,1
1000,1000,100,0.1,10,1.21,1,23744082198.6141,0,0,1
1000,1000,100,0.1,10,1.22,1,1559554284.06703,0,0,1
1000,1000,100,0.1,10,1.23,1,165030216009.897,0,0,1
1000,1000,100,0.1,10,1.24,1,1354089756720.21,0,0,1
1000,1000,100,0.1,10,1.25,1,8405957506242.9,0,0,1
1000,1000,100,0.1,100,0,0,0.04569,0.954310000000001,0.04569,0
1000,1000,100,0.1,100,0.02,0,0.04998,0.950020000000001,0.04998,0
1000,1000,100,0.1,100,0.04,0,0.05465,0.945350000000001,0.05465,0
1000,1000,100,0.1,100,0.06,0,0.0571,0.942900000000001,0.0571,0
1000,1000,100,0.1,100,0.08,0,0.07287,0.927130000000001,0.07287,0
1000,1000,100,0.1,100,0.1,0,0.0952,0.904800000000001,0.0952,0
1000,1000,100,0.1,100,0.12,0,0.12104,0.878960000000001,0.12104,0
1000,1000,100,0.1,100,0.14,0,0.16177,0.83823,0.16177,0
1000,1000,100,0.1,100,0.16,0,0.21169,0.788310000000001,0.21169,0
1000,1000,100,0.1,100,0.18,0,0.28316,0.716840000000001,0.28316,0
1000,1000,100,0.1,100,0.2,0,0.36055,0.63945,0.36055,0
1000,1000,100,0.1,100,0.22,0,0.47495,0.52505,0.47495,0
1000,1000,100,0.1,100,0.24,0,0.57845,0.42155,0.57845,0
1000,1000,100,0.1,100,0.26,0,0.67755,0.32245,0.677550000000001,0
1000,1000,100,0.1,100,0.28,0,0.76522,0.23478,0.76522,0
1000,1000,100,0.1,100,0.3,0,0.85082,0.14918,0.850820000000001,0
1000,1000,100,0.1,100,0.32,0,0.9135,0.0865,0.913500000000001,0
1000,1000,100,0.1,100,0.34,0,0.95392,0.04608,0.953920000000001,0
1000,1000,100,0.1,100,0.36,0,0.97576,0.02424,0.975760000000001,0
1000,1000,100,0.1,100,0.38,0,0.99087,0.00913,0.990870000000001,0
1000,1000,100,0.1,100,0.4,0,0.99608,0.00392,0.996080000000001,0
1000,1000,100,0.1,100,0.42,0,0.9987,0.0013,0.998700000000001,0
1000,1000,100,0.1,100,0.44,0,0.99964,0.00036,0.999640000000001,0
1000,1000,100,0.1,100,0.46,0,0.99987,0.00013,0.999870000000001,0
1000,1000,100,0.1,100,0.48,0,0.99993,7e-05,0.999930000000001,0
1000,1000,100,0.1,100,0.5,0,1,0,1,0
1000,1000,100,0.1,100,0.52,0,1,0,1,0
1000,1000,100,0.1,100,0.54,0,1,0,1,0
1000,1000,100,0.1,100,0.56,0,1,0,1,0
1000,1000,100,0.1,100,0.58,0,1,0,1,0
1000,1000,100,0.1,100,0.6,0,1,0,1,0
1000,1000,100,0.1,100,0.62,0,1,0,1,0
1000,1000,100,0.1,100,0.64,0,1,0,1,0
1000,1000,100,0.1,100,0.66,0,1,0,1,0
1000,1000,100,0.1,100,0.68,0,1,0,1,0
1000,1000,100,0.1,100,0.7,0,0.999924958435825,0,0.999880000000001,0.00012
1000,1000,100,0.1,100,0.72,0,0.999963433147997,0,0.999930000000001,7e-05
1000,1000,100,0.1,100,0.74,0,0.999740336733477,0,0.999610000000001,0.00039
1000,1000,100,0.1,100,0.76,0,0.998322353002973,0,0.997540000000001,0.00246
1000,1000,100,0.1,100,0.78,0,0.994777989127484,0,0.992430000000001,0.00757
1000,1000,100,0.1,100,0.8,0,0.985580635285458,0,0.980030000000001,0.01997
1000,1000,100,0.1,100,0.82,0,0.959034455401514,0,0.944730000000001,0.05527
1000,1000,100,0.1,100,0.84,0,0.910972887156448,0,0.880960000000001,0.11904
1000,1000,100,0.1,100,0.86,0,0.82597232714878,0,0.774330000000001,0.22567
1000,1000,100,0.1,100,0.88,0,0.711763810397573,0,0.63706,0.36294
1000,1000,100,0.1,100,0.9,0,0.548710231782944,0,0.45136,0.54864
1000,1000,100,0.1,100,0.92,0,0.404746974279573,0,0.30105,0.69895
1000,1000,100,0.1,100,0.94,0,0.273319328677282,0,0.17537,0.824630000000001
1000,1000,100,0.1,100,0.96,0,0.183035527372249,0,0.09644,0.903560000000001
1000,1000,100,0.1,100,0.98,0,0.11232092823706,0,0.04199,0.958010000000001
1000,1000,100,0.1,100,1,0,0.0721308143878265,0,0.01361,0.986390000000001
1000,1000,100,0.1,100,1.02,0,0.0678277443636421,0,0.00395,0.996050000000001
1000,1000,100,0.1,100,1.04,0,0.0857762768691548,0,0.00081,0.999190000000001
1000,1000,100,0.1,100,1.06,0.002,0.2931892165594,0,0.00033,0.999670000000001
1000,1000,100,0.1,100,1.08,0.018,1.67134226608962,0,4e-05,0.999960000000001
1000,1000,100,0.1,100,1.1,0.041,2.7029619752277,0,0,1
1000,1000,100,0.1,100,1.12,0.12,22.655920849956,0,0,1
1000,1000,100,0.1,100,1.14,0.316,162.61525150667,0,0,1
1000,1000,100,0.1,100,1.16,0.534,4241.78786960165,0,0,1
1000,1000,100,0.1,100,1.18,0.758,2662451.11626133,0,0,1
1000,1000,100,0.1,100,1.2,0.889,1544851.05227299,0,0,1
1000,1000,100,0.1,100,1.22,0.958,624474872.908696,0,0,1
1000,1000,100,0.1,100,1.24,0.991,22343906872.2264,0,0,1
1000,1000,100,0.1,100,1.26,1,699350570809.545,0,0,1
1000,1000,100,0.1,100,1.28,1,1840934988409.05,0,0,1
1000,1000,100,0.1,100,1.3,1,118263527649421,0,0,1
1000,1000,100,0.1,100,1.32,1,19398911643265700,0,0,1
1000,1000,100,0.1,100,1.34,1,7582995289184820000,0,0,1
1000,1000,100,0.1,100,1.36,1,5.09074960180013e+20,0,0,1
1000,1000,100,0.1,100,1.38,1,5.68261803752784e+22,0,0,1
1000,1000,100,0.1,100,1.4,1,1.17433130909012e+25,0,0,1
1000,1000,100,0.1,100,1.42,1,3.61393938428182e+27,0,0,1
1000,1000,100,0.1,100,1.44,1,4.81135711537592e+29,0,0,1
1000,1000,100,0.1,100,1.46,1,1.91697351196385e+34,0,0,1
1000,1000,100,0.1,100,1.48,1,2.6174361121615e+34,0,0,1
1000,1000,100,0.1,100,1.5,1,1.64782249655812e+37,0,0,1
1000,1000,100,0.1,100,1.52,1,1.18362917765976e+40,0,0,1
1000,1000,100,0.1,100,1.54,1,1.59227263058437e+45,0,0,1
1000,1000,100,0.1,100,1.56,1,7.72557876708994e+45,0,0,1
1000,1000,100,0.1,100,1.58,1,3.0488430852311e+49,0,0,1
1000,1000,100,0.1,100,1.6,1,1.50822975931517e+53,0,0,1
1000,1000,100,0.1,1000,0,0,6.28961214929617e-75,0,0,1
1000,1000,100,0.1,1000,0.1,0,2.23447163228078e-74,0,0,1
1000,1000,100,0.1,1000,0.2,0,1.67184060564681e-75,0,0,1
1000,1000,100,0.1,1000,0.3,0,1.19740570554242e-76,0,0,1
1000,1000,100,0.1,1000,0.4,0,3.83523937892039e-77,0,0,1
1000,1000,100,0.1,1000,0.5,0,1.86855368639103e-77,0,0,1
1000,1000,100,0.1,1000,0.6,0,1.33390194468187e-85,0,0,1
1000,1000,100,0.1,1000,0.7,0,1.44316047855972e-85,0,0,1
1000,1000,100,0.1,1000,0.8,0,6.53538756127472e-88,0,0,1
1000,1000,100,0.1,1000,0.9,0,3.38558575111815e-86,0,0,1
1000,1000,100,0.1,1000,1,0,1.35734842376142e-88,0,0,1
1000,1000,100,0.1,1000,1.1,0,3.57325038453128e-80,0,0,1
1000,1000,100,0.1,1000,1.2,0,8.74862545403851e-80,0,0,1
1000,1000,100,0.1,1000,1.3,0,2.90851354756849e-71,0,0,1
1000,1000,100,0.1,1000,1.4,0,9.77314631083897e-66,0,0,1
1000,1000,100,0.1,1000,1.5,0,5.40978342150536e-54,0,0,1
1000,1000,100,0.1,1000,1.6,0,6.141312498886e-42,0,0,1
1000,1000,100,0.1,1000,1.7,0,1.76136716527948e-23,0,0,1
1000,1000,100,0.1,1000,1.8,0,1.17884011450367e-07,0,0,1
1000,1000,100,0.1,1000,1.9,0.033,16896136111.5212,0,0,1
1000,1000,100,0.1,1000,1.91,0.041,905415695969416,0,0,1
1000,1000,100,0.1,1000,1.92,0.078,17719953813449800,0,0,1
1000,1000,100,0.1,1000,1.93,0.11,2.37311649880623e+21,0,0,1
1000,1000,100,0.1,1000,1.94,0.16,1.44622361497653e+29,0,0,1
1000,1000,100,0.1,1000,1.95,0.221,9.25470361691125e+22,0,0,1
1000,1000,100,0.1,1000,1.96,0.293,2.74025741342469e+23,0,0,1
1000,1000,100,0.1,1000,1.97,0.378,3.74513839016691e+23,0,0,1
1000,1000,100,0.1,1000,1.98,0.451,1.42522977143006e+29,0,0,1
1000,1000,100,0.1,1000,1.99,0.532,3.86902278110346e+32,0,0,1
1000,1000,100,0.1,1000,2,0.627,1.59456347058477e+44,0,0,1
1000,1000,100,0.1,1000,2.01,0.704,3.00741940692532e+36,0,0,1
1000,1000,100,0.1,1000,2.02,0.763,1.79311508047838e+44,0,0,1
1000,1000,100,0.1,1000,2.03,0.836,4.21028648009762e+39,0,0,1
1000,1000,100,0.1,1000,2.04,0.894,2.64914575079109e+45,0,0,1
1000,1000,100,0.1,1000,2.05,0.939,1.92570817211411e+43,0,0,1
1000,1000,100,0.1,1000,2.1,0.997,4.99188471351308e+51,0,0,1
1000,1000,100,0.1,1000,2.2,1,8.55128006064219e+86,0,0,1
1000,1000,100,0.1,1000,2.3,1,1.77736288391381e+113,0,0,1
1000,1000,100,0.1,1000,2.4,1,3.91222159076658e+141,0,0,1
1000,1000,100,0.1,1000,2.5,1,6.03996246805485e+167,0,0,1
1000,1000,100,0.1,1000,2.6,1,2.86169728441365e+210,0,0,1
